,zip,highSchoolGraduate,associateDegree,bachelorDegree,graduateDegree
0,60601,905,2232,4782,4870
1,60602,74,220,489,339
2,60603,94,321,356,363
3,60604,40,117,203,275
4,60605,2091,4989,8049,8080
5,60606,53,81,1456,1182
6,60607,2042,6205,9278,7516
7,60608,15670,13746,10380,4406
8,60609,17340,9969,3603,1736
9,60610,3098,6587,14090,10322
10,60611,1383,3966,12100,12646
11,60612,6556,7636,5116,2909
12,60613,3823,7207,21353,10826
13,60614,4155,8373,29229,17255
14,60615,4909,8997,8253,9453
15,60616,9425,10570,10517,7343
16,60617,19465,20111,5753,2929
17,60618,14487,16395,20266,11138
18,60619,13788,18793,6424,3803
19,60620,16617,20695,5478,2863
20,60621,7652,7296,1103,416
21,60622,4723,7148,19617,9992
22,60623,17341,14623,3816,1279
23,60624,9705,8105,1182,495
24,60625,11829,14467,18466,10163
25,60626,8130,11469,10206,6420
26,60628,14454,20340,5468,3212
27,60629,29377,20796,4769,1420
28,60630,12136,13549,9973,5001
29,60631,5884,6865,5944,3259
30,60632,22178,13928,4434,1288
31,60633,3722,3529,980,418
32,60634,18732,18834,9243,3791
33,60636,10830,7517,1469,798
34,60637,7598,14004,4552,5276
35,60638,15380,14136,6032,2549
36,60639,19534,15860,5008,1858
37,60640,9214,12187,20346,11727
38,60641,14406,15101,9634,4999
39,60642,1537,2906,7583,3719
40,60643,8477,14155,6866,6042
41,60643,8477,14155,6866,6042
42,60644,12926,10955,2541,1055
43,60645,7796,7903,8768,5086
44,60646,4081,4781,6836,4167
45,60647,13682,14361,21651,11171
46,60649,8249,13937,4708,3394
47,60651,15489,12979,3766,1643
48,60652,9572,11374,4212,2011
49,60653,5206,7811,3710,2774
50,60654,517,1657,8447,5900
51,60655,5037,7575,5346,2964
52,60656,5138,6624,5634,2577
53,60657,3114,8477,31170,18227
54,60659,6732,7820,7057,3511
55,60660,6918,9336,10666,7012
56,60661,382,797,4254,3551
57,60656,5138,6624,5634,2577
58,60707,9253,11488,5215,2831
59,60707,9253,11488,5215,2831
60,60827,6746,8116,1556,806
