,zip,total_educated_population,totalPopulation
0,60601,12889,13887
1,60602,1122,1277
2,60603,1139,1197
3,60604,641,668
4,60605,23744,26188
5,60606,2772,2959
6,60607,26018,28928
7,60608,63227,78877
8,60609,44114,60994
9,60610,35630,39345
10,60611,30299,32198
11,60612,26742,35332
12,60613,44449,50553
13,60614,60519,70225
14,60615,33769,40595
15,60616,44936,53331
16,60617,60713,81227
17,60618,74516,95218
18,60619,48910,62992
19,60620,54059,69195
20,60621,21948,30496
21,60622,45410,53680
22,60623,61073,88586
23,60624,26157,37665
24,60625,64638,80676
25,60626,41332,49416
26,60628,51524,67942
27,60629,80233,114129
28,60630,45817,57531
29,60631,23470,29566
30,60632,64142,91644
31,60633,10195,13202
32,60634,58938,74901
33,60636,26256,34461
34,60637,35921,48006
35,60638,45141,58990
36,60639,65082,90767
37,60640,59496,68258
38,60641,54542,69954
39,60642,17123,19488
40,60643,39342,51028
41,60643,39342,51028
42,60643,39342,51028
43,60643,39342,51028
44,60644,35353,49051
45,60645,35448,48269
46,60646,21579,27865
47,60647,70057,87707
48,60649,34387,44223
49,60651,44921,61828
50,60652,32055,43582
51,60653,23387,31820
52,60654,16749,18148
53,60655,21821,28972
54,60656,22078,26896
55,60657,62051,70103
56,60659,30508,40442
57,60660,37358,42068
58,60661,9022,9697
59,60707,34001,43250
60,60707,34001,43250
61,60666,22078,26896
62,60827,20295,28856
