,zip,number,medianIncome,meanIncome
0,60601,8400,110215,156723
1,60602,596,115774,172492
2,60603,563,140114,221184
3,60604,400,114565,214724
4,60605,13239,107811,157763
5,60606,1979,139179,197695
6,60607,12663,92240,120419
7,60608,25372,41226,57770
8,60609,19960,33959,47139
9,60610,23301,81576,132877
10,60611,20487,96040,159285
11,60612,13200,38756,60654
12,60613,26251,79565,113058
13,60614,33591,100116,149897
14,60615,20470,41679,67727
15,60616,23924,46340,66098
16,60617,27837,38417,51429
17,60618,35275,66246,97946
18,60619,26056,32558,46846
19,60620,25425,33304,47131
20,60621,11022,19845,32722
21,60622,23608,87143,119502
22,60623,25118,31445,41680
23,60624,11976,22467,36426
24,60625,29445,63106,86237
25,60626,22190,39163,56683
26,60628,23324,38206,52448
27,60629,31223,41856,54685
28,60630,20959,70122,84544
29,60631,11908,82226,105355
30,60632,24526,42335,55174
31,60633,4695,50164,63326
32,60634,25963,62223,77020
33,60636,11222,27573,40691
34,60637,18991,28024,55880
35,60638,20100,67045,79245
36,60639,25264,41307,54396
37,60640,34482,50488,75075
38,60641,24555,56488,73909
39,60642,9103,92797,114612
40,60643,18105,59488,83368
41,60643,18105,59488,83368
42,60644,16119,27617,41174
43,60645,16185,50589,74614
44,60646,10759,86534,116656
45,60647,34251,68223,95062
46,60649,20538,24941,43822
47,60651,19283,36283,49663
48,60652,13211,65770,76125
49,60653,14260,28411,51883
50,60654,11635,104629,151857
51,60655,10106,94524,105761
52,60656,11730,60575,77236
53,60657,36818,88708,129376
54,60659,12866,50554,68047
55,60660,20576,45442,66167
56,60661,5776,104714,132987
57,60666,11730,60575,77236
58,60707,15639,55566,72602
59,60707,15639,55566,72602
60,60827,10734,31008,45554
